,sensorId,latitude,longitude,elevation,fromDateTime,tillDateTime,PM1,PM25,PM10,pressure,humidity,temperature,wind_speed,wind_bearing
0,10032,50.026411,19.950116,221.59,2022-03-11 15:00:00+00:00,2022-03-11 16:00:00+00:00,6.02,7.91,8.74,,31.16,0.75,19.31,94.0
1,10032,50.026411,19.950116,221.59,2022-03-11 16:00:00+00:00,2022-03-11 17:00:00+00:00,6.83,9.21,10.21,,35.54,-0.39,17.5,93.53
2,10032,50.026411,19.950116,221.59,2022-03-11 17:00:00+00:00,2022-03-11 18:00:00+00:00,11.86,16.43,18.33,,40.82,-1.58,15.65,93.78
3,10032,50.026411,19.950116,221.59,2022-03-11 18:00:00+00:00,2022-03-11 19:00:00+00:00,16.82,24.35,29.2,,45.71,-2.46,14.22,95.8
4,10032,50.026411,19.950116,221.59,2022-03-11 19:00:00+00:00,2022-03-11 20:00:00+00:00,24.25,35.07,43.79,,49.34,-3.24,12.72,98.45
5,10032,50.026411,19.950116,221.59,2022-03-11 20:00:00+00:00,2022-03-11 21:00:00+00:00,24.81,36.19,46.78,,53.7,-4.2,10.85,102.0
6,10032,50.026411,19.950116,221.59,2022-03-11 21:00:00+00:00,2022-03-11 22:00:00+00:00,25.18,36.84,47.81,,56.59,-4.64,9.83,101.84
7,10032,50.026411,19.950116,221.59,2022-03-11 22:00:00+00:00,2022-03-11 23:00:00+00:00,25.02,36.53,47.11,,61.03,-5.0,9.65,101.0
8,10032,50.026411,19.950116,221.59,2022-03-11 23:00:00+00:00,2022-03-12 00:00:00+00:00,26.59,39.16,51.19,,64.0,-5.65,8.64,99.0
9,10032,50.026411,19.950116,221.59,2022-03-12 00:00:00+00:00,2022-03-12 01:00:00+00:00,28.4,41.83,54.91,,66.25,-5.95,8.18,99.74
10,10032,50.026411,19.950116,221.59,2022-03-12 01:00:00+00:00,2022-03-12 02:00:00+00:00,30.44,44.51,58.18,,67.56,-6.46,7.87,100.74
11,10032,50.026411,19.950116,221.59,2022-03-12 02:00:00+00:00,2022-03-12 03:00:00+00:00,31.64,45.87,59.67,,69.25,-7.0,7.57,103.62
12,10032,50.026411,19.950116,221.59,2022-03-12 03:00:00+00:00,2022-03-12 04:00:00+00:00,32.62,47.01,60.37,,70.95,-7.32,7.71,102.97
13,10032,50.026411,19.950116,221.59,2022-03-12 04:00:00+00:00,2022-03-12 05:00:00+00:00,29.38,43.08,56.52,,74.5,-7.62,7.34,108.45
14,10032,50.026411,19.950116,221.59,2022-03-12 05:00:00+00:00,2022-03-12 06:00:00+00:00,31.51,45.57,59.21,,74.5,-7.97,7.12,103.98
15,10032,50.026411,19.950116,221.59,2022-03-12 06:00:00+00:00,2022-03-12 07:00:00+00:00,31.76,45.49,58.53,,72.25,-7.18,6.94,97.37
16,10032,50.026411,19.950116,221.59,2022-03-12 07:00:00+00:00,2022-03-12 08:00:00+00:00,27.69,39.49,51.44,,66.0,-4.75,8.04,96.72
17,10032,50.026411,19.950116,221.59,2022-03-12 08:00:00+00:00,2022-03-12 09:00:00+00:00,22.48,32.66,42.0,,56.71,-2.07,8.75,89.6
18,10032,50.026411,19.950116,221.59,2022-03-12 09:00:00+00:00,2022-03-12 10:00:00+00:00,17.71,25.48,31.67,,44.11,0.45,9.3,82.58
19,10032,50.026411,19.950116,221.59,2022-03-12 10:00:00+00:00,2022-03-12 11:00:00+00:00,16.96,24.17,29.94,,38.97,1.76,9.59,80.83
20,10032,50.026411,19.950116,221.59,2022-03-12 11:00:00+00:00,2022-03-12 12:00:00+00:00,14.51,20.48,24.27,,30.66,3.77,9.78,79.7
21,10032,50.026411,19.950116,221.59,2022-03-12 12:00:00+00:00,2022-03-12 13:00:00+00:00,11.73,15.8,17.35,,26.47,5.08,8.93,76.09
22,10032,50.026411,19.950116,221.59,2022-03-12 13:00:00+00:00,2022-03-12 14:00:00+00:00,7.73,10.1,11.12,,23.84,5.92,9.79,77.0
23,10032,50.026411,19.950116,221.59,2022-03-12 14:00:00+00:00,2022-03-12 15:00:00+00:00,8.25,10.9,12.01,,22.07,6.3,10.15,78.84
24,10039,50.067312,19.90336,203.88,2022-03-11 15:00:00+00:00,2022-03-11 16:00:00+00:00,2.33,3.35,4.63,1032.74,29.06,0.42,19.7,95.65
25,10039,50.067312,19.90336,203.88,2022-03-11 16:00:00+00:00,2022-03-11 17:00:00+00:00,3.95,5.85,8.05,1032.75,34.41,-0.53,18.53,92.94
26,10039,50.067312,19.90336,203.88,2022-03-11 17:00:00+00:00,2022-03-11 18:00:00+00:00,5.18,7.44,10.29,1033.03,44.89,-2.14,16.34,89.04
27,10039,50.067312,19.90336,203.88,2022-03-11 18:00:00+00:00,2022-03-11 19:00:00+00:00,7.83,11.63,16.38,1033.04,52.23,-3.17,14.98,96.0
28,10039,50.067312,19.90336,203.88,2022-03-11 19:00:00+00:00,2022-03-11 20:00:00+00:00,8.65,13.02,18.81,1033.17,55.11,-3.89,13.49,96.63
