,sensorId,latitude,longitude,elevation,fromDateTime,tillDateTime,PM1,PM25,PM10,pressure,humidity,temperature,wind_speed,wind_bearing
0,5649,50.157944,19.979183,260.39,2023-06-30 22:00:00+00:00,2023-06-30 23:00:00+00:00,7.56,9.35,12.91,1008.02,55.07,18.46,9.35,318.09
1,5649,50.157944,19.979183,260.39,2023-06-30 23:00:00+00:00,2023-07-01 00:00:00+00:00,7.74,9.53,13.06,1007.93,58.82,17.53,8.95,329.76
2,5649,50.157944,19.979183,260.39,2023-07-01 00:00:00+00:00,2023-07-01 01:00:00+00:00,8.24,10.3,14.11,1008.08,61.4,16.98,7.88,332.0
3,5649,50.157944,19.979183,260.39,2023-07-01 01:00:00+00:00,2023-07-01 02:00:00+00:00,8.43,10.54,14.41,1007.68,71.84,16.0,4.25,307.0
4,5649,50.157944,19.979183,260.39,2023-07-01 02:00:00+00:00,2023-07-01 03:00:00+00:00,9.72,12.27,16.81,1007.57,88.46,15.59,3.57,249.08
5,5649,50.157944,19.979183,260.39,2023-07-01 03:00:00+00:00,2023-07-01 04:00:00+00:00,10.5,13.48,18.54,1007.67,91.75,15.61,3.41,239.0
6,5649,50.157944,19.979183,260.39,2023-07-01 04:00:00+00:00,2023-07-01 05:00:00+00:00,11.04,14.51,19.96,1007.64,92.44,15.81,3.13,239.91
7,5649,50.157944,19.979183,260.39,2023-07-01 05:00:00+00:00,2023-07-01 06:00:00+00:00,10.39,13.56,18.6,1007.84,93.19,16.04,2.79,179.82
8,5649,50.157944,19.979183,260.39,2023-07-01 06:00:00+00:00,2023-07-01 07:00:00+00:00,9.51,12.08,16.62,1007.98,93.25,16.49,4.38,168.39
9,5649,50.157944,19.979183,260.39,2023-07-01 07:00:00+00:00,2023-07-01 08:00:00+00:00,8.68,11.05,15.05,1007.96,91.22,17.17,4.19,156.16
10,5649,50.157944,19.979183,260.39,2023-07-01 08:00:00+00:00,2023-07-01 09:00:00+00:00,9.05,11.68,16.04,1007.82,89.33,17.77,3.93,172.32
11,5649,50.157944,19.979183,260.39,2023-07-01 09:00:00+00:00,2023-07-01 10:00:00+00:00,10.88,14.99,20.93,1007.61,79.22,18.89,4.19,216.29
12,5649,50.157944,19.979183,260.39,2023-07-01 10:00:00+00:00,2023-07-01 11:00:00+00:00,10.54,13.77,18.83,1007.18,62.18,20.72,6.64,228.63
13,5649,50.157944,19.979183,260.39,2023-07-01 11:00:00+00:00,2023-07-01 12:00:00+00:00,9.91,12.75,17.48,1006.78,59.72,22.35,7.66,235.99
14,5649,50.157944,19.979183,260.39,2023-07-01 12:00:00+00:00,2023-07-01 13:00:00+00:00,8.46,10.58,14.31,1006.44,57.95,24.42,9.41,237.21
15,5649,50.157944,19.979183,260.39,2023-07-01 13:00:00+00:00,2023-07-01 14:00:00+00:00,7.59,9.45,12.78,1005.95,80.75,25.03,9.54,241.36
16,5649,50.157944,19.979183,260.39,2023-07-01 14:00:00+00:00,2023-07-01 15:00:00+00:00,9.5,12.16,16.67,1005.43,77.88,24.06,9.19,251.0
17,5649,50.157944,19.979183,260.39,2023-07-01 15:00:00+00:00,2023-07-01 16:00:00+00:00,11.16,15.45,21.51,1005.12,76.75,23.67,9.47,251.9
18,5649,50.157944,19.979183,260.39,2023-07-01 16:00:00+00:00,2023-07-01 17:00:00+00:00,11.63,16.67,23.31,1005.09,76.75,23.11,8.56,255.0
19,5649,50.157944,19.979183,260.39,2023-07-01 17:00:00+00:00,2023-07-01 18:00:00+00:00,12.04,16.7,23.29,1004.86,69.01,22.21,7.57,251.29
20,5649,50.157944,19.979183,260.39,2023-07-01 18:00:00+00:00,2023-07-01 19:00:00+00:00,12.23,17.04,23.78,1004.85,55.29,20.95,6.81,249.46
21,5649,50.157944,19.979183,260.39,2023-07-01 19:00:00+00:00,2023-07-01 20:00:00+00:00,12.47,17.64,25.2,1005.1,62.98,19.22,6.82,256.44
22,5649,50.157944,19.979183,260.39,2023-07-01 20:00:00+00:00,2023-07-01 21:00:00+00:00,14.25,20.64,32.04,1005.14,73.34,18.22,7.39,263.08
23,5649,50.157944,19.979183,260.39,2023-07-01 21:00:00+00:00,2023-07-01 22:00:00+00:00,14.36,20.9,32.52,1005.11,82.53,17.41,7.0,264.0
24,503,50.13258,19.784113,247.02,2023-06-30 22:00:00+00:00,2023-06-30 23:00:00+00:00,,,,,,,,
25,503,50.13258,19.784113,247.02,2023-06-30 23:00:00+00:00,2023-07-01 00:00:00+00:00,,,,,,,,
26,503,50.13258,19.784113,247.02,2023-07-01 00:00:00+00:00,2023-07-01 01:00:00+00:00,,,,,,,,
27,503,50.13258,19.784113,247.02,2023-07-01 01:00:00+00:00,2023-07-01 02:00:00+00:00,,,,,,,,
28,503,50.13258,19.784113,247.02,2023-07-01 02:00:00+00:00,2023-07-01 03:00:00+00:00,,,,,,,,
29,503,50.13258,19.784113,247.02,2023-07-01 03:00:00+00:00,2023-07-01 04:00:00+00:00,,,,,,,,
30,503,50.13258,19.784113,247.02,2023-07-01 04:00:00+00:00,2023-07-01 05:00:00+00:00,,,,,,,,
31,503,50.13258,19.784113,247.02,2023-07-01 05:00:00+00:00,2023-07-01 06:00:00+00:00,,,,,,,,
32,503,50.13258,19.784113,247.02,2023-07-01 06:00:00+00:00,2023-07-01 07:00:00+00:00,,,,,,,,
33,503,50.13258,19.784113,247.02,2023-07-01 07:00:00+00:00,2023-07-01 08:00:00+00:00,,,,,,,,
34,503,50.13258,19.784113,247.02,2023-07-01 08:00:00+00:00,2023-07-01 09:00:00+00:00,,,,,,,,
35,503,50.13258,19.784113,247.02,2023-07-01 09:00:00+00:00,2023-07-01 10:00:00+00:00,,,,,,,,
36,503,50.13258,19.784113,247.02,2023-07-01 10:00:00+00:00,2023-07-01 11:00:00+00:00,,,,,,,,
37,503,50.13258,19.784113,247.02,2023-07-01 11:00:00+00:00,2023-07-01 12:00:00+00:00,,,,,,,,
38,503,50.13258,19.784113,247.02,2023-07-01 12:00:00+00:00,2023-07-01 13:00:00+00:00,,,,,,,,
39,503,50.13258,19.784113,247.02,2023-07-01 13:00:00+00:00,2023-07-01 14:00:00+00:00,,,,,,,,
40,503,50.13258,19.784113,247.02,2023-07-01 14:00:00+00:00,2023-07-01 15:00:00+00:00,,,,,,,,
41,503,50.13258,19.784113,247.02,2023-07-01 15:00:00+00:00,2023-07-01 16:00:00+00:00,,,,,,,,
